"id","title","link","district","bizcircle","tagList","onsale","onrent","year","housetype","cost","service","company","building_num","house_num","price","city","validdate"
"1811043549671","潮王人家","https://hz.lianjia.com/xiaoqu/1811043549671/","下城","朝晖","","5","0","1999年建成","塔楼/板楼/塔板结合","0.8元/平米/月","浙江新明物业服务有限公司","浙江明新置业控股集团有限公司","5栋","1140户","42202","hz","2019-02-02 22:26:39"
"1811043550492","东方豪园","https://hz.lianjia.com/xiaoqu/1811043550492/","下城","朝晖","","6","0","2006年建成","塔楼","1.8元/平米/月","浙江金瑞物业管理有限公司","杭州市城建开发集团有限公司","2栋","412户","33430","hz","2019-02-02 22:25:32"
"1811043550772","华东园","https://hz.lianjia.com/xiaoqu/1811043550772/","下城","朝晖","","3","0","2000年建成","板楼","暂无信息","无物业管理服务","杭州市城建开发集团有限公司","3栋","293户","41606","hz","2019-02-02 22:29:22"
"1811043551108","朝晖新城","https://hz.lianjia.com/xiaoqu/1811043551108/","下城","朝晖","近地铁1号线(临平-湘湖)西湖文化广场站","6","1","2000年建成","塔楼","1.2元/平米/月","杭州中意物业管理有限公司","杭州市城建开发集团有限公司","3栋","281户","32128","hz","2019-02-02 22:24:30"
"1811043551175","庆晖公寓","https://hz.lianjia.com/xiaoqu/1811043551175/","下城","朝晖","","3","0","2000年建成","塔楼","0.5元/平米/月","杭州庆晖物业管理有限公司","杭州市城建开发集团有限公司","2栋","296户","33870","hz","2019-02-02 22:25:27"
"1811043551216","雅兰公寓","https://hz.lianjia.com/xiaoqu/1811043551216/","下城","流水苑","近地铁1号线(临平-湘湖)打铁关站","0","1","2000年建成","板楼","0.5元/平米/月","街道办事处（居委会）代管物业","杭州市城建开发集团有限公司","2栋","160户","38577","hz","2019-02-02 22:29:14"
"1811043551296","现代城建大厦","https://hz.lianjia.com/xiaoqu/1811043551296/","下城","朝晖","近地铁1号线(临平-湘湖)西湖文化广场站","0","0","2002年建成","塔板结合","2.1元/平米/月","杭州现代物业管理有限公司","杭州市城建开发集团有限公司","1栋","352户","暂无","hz","2019-02-02 22:31:41"
"1811043551314","天盛居","https://hz.lianjia.com/xiaoqu/1811043551314/","下城","朝晖","","0","0","2005年建成","板楼","0.5元/平米/月","杭州钱塘物业管理有限公司","杭州一方房地产开发有限公司","4栋","234户","40371","hz","2019-02-02 22:26:00"
"1811043551395","中山花园","https://hz.lianjia.com/xiaoqu/1811043551395/","下城","朝晖","近地铁1号线(临平-湘湖)西湖文化广场站","9","2","2000年建成","塔楼","1.8元/平米/月","浙江信荣物业管理有限公司","杭州市城建开发集团有限公司","3栋","585户","31043","hz","2019-02-02 22:23:15"
"1811043635596","滨康小区","https://hz.lianjia.com/xiaoqu/1811043635596/","滨江","长河","","8","5","2000年建成","板楼","0.5元/平米/月","杭州兴耀物业管理有限公司","滨江区拆迁安置房领导小组","36栋","948户","31433","hz","2019-02-02 23:14:46"
